flight_date,departure_airport,departure_icao,departure_iata,departure_time,arrival_airport,arrival_icao,arrival_iata,airline_name,airline_icao,flight_number,flight_iata,flight_icao,lat1,long1,lat2,long2
01/01/2022,John F Kennedy International,KJFK,JFK,2022-01-01T18:26:00+00:00,Nashville International,KBNA,BNA,Delta Air Lines,DAL,4855,DL4855,DAL4855,,,,
01/01/2022,John F Kennedy International,KJFK,JFK,2022-01-01T18:44:00+00:00,Ronald Reagan Washington National Airport,KDCA,DCA,Delta Air Lines,DAL,5731,DL5731,DAL5731,,,,
01/01/2022,John F Kennedy International,KJFK,JFK,2022-01-01T18:33:00+00:00,Miami International Airport,KMIA,MIA,American Airlines,AAL,1174,AA1174,AAL1174,,,,
01/01/2022,John F Kennedy International,KJFK,JFK,,Tampa International,KTPA,TPA,Delta Air Lines,DAL,2090,DL2090,DAL2090,,,,
01/01/2022,John F Kennedy International,KJFK,JFK,2022-01-01T18:45:00+00:00,Austin-bergstrom International,KAUS,AUS,American Airlines,AAL,2772,AA2772,AAL2772,,,,
01/01/2022,John F Kennedy International,KJFK,JFK,2022-01-01T21:24:00+00:00,Salt Lake City International,KSLC,SLC,JetBlue Airways,JBU,71,B671,JBU71,,,,
01/01/2022,John F Kennedy International,KJFK,JFK,2022-01-01T21:21:00+00:00,Sky Harbor International,KPHX,PHX,JetBlue Airways,JBU,135,B6135,JBU135,,,,
01/01/2022,John F Kennedy International,KJFK,JFK,2022-01-01T18:43:00+00:00,Ontario International,KONT,ONT,JetBlue Airways,JBU,355,B6355,JBU355,,,,
01/01/2022,John F Kennedy International,KJFK,JFK,2022-01-01T19:01:00+00:00,Luis Munoz Marin International,TJSJ,SJU,Delta Air Lines,DAL,1859,DL1859,DAL1859,,,,
01/01/2022,John F Kennedy International,KJFK,JFK,2022-01-01T21:38:00+00:00,Los Angeles International,KLAX,LAX,United Airlines,UAL,517,UA517,UAL517,,,,
01/01/2022,John F Kennedy International,KJFK,JFK,2022-01-01T19:31:00+00:00,Tampa International,KTPA,TPA,JetBlue Airways,JBU,125,B6125,JBU125,,,,
01/01/2022,John F Kennedy International,KJFK,JFK,2022-01-01T19:05:00+00:00,Pittsburgh International,KPIT,PIT,American Airlines,AAL,4862,AA4862,AAL4862,,,,
01/01/2022,John F Kennedy International,KJFK,JFK,2022-01-01T19:18:00+00:00,Hopkins International,KCLE,CLE,Delta Air Lines,DAL,5043,DL5043,DAL5043,,,,
01/01/2022,John F Kennedy International,KJFK,JFK,2022-01-01T19:27:00+00:00,Cincinnati/Northern Kentucky,KCVG,CVG,Delta Air Lines,DAL,5273,DL5273,DAL5273,,,,
01/01/2022,John F Kennedy International,KJFK,JFK,2022-01-01T20:11:00+00:00,Reno-Tahoe International,KRNO,RNO,JetBlue Airways,JBU,81,B681,JBU81,,,,
01/01/2022,Lambert-St. Louis International,KSTL,STL,,Mid-Continent,KICT,ICT,United Airlines,UAL,6954,UA6954,UAL6954,,,,
01/01/2022,Lambert-St. Louis International,KSTL,STL,2022-01-01T17:35:00+00:00,Detroit Metropolitan Wayne County,KDTW,DTW,Air France,AFR,6834,AF6834,AFR6834,,,,
