,city,state_id,latitude,longitude,population,airport,distance
344,Bellingham,WA,48.7543,-122.4687,130641,BLI,0.07646394880681297
345,Santa Clara,CA,37.3645,-121.968,130365,SJC,0.039066411328531336
346,Racine,WI,42.7274,-87.8135,130142,,
347,Greenville,NC,35.5956,-77.3768,130118,PGV,0.03854978778216494
348,Stamford,CT,41.1035,-73.5583,129638,,
349,Elizabeth,NJ,40.6657,-74.1912,129216,EWR,0.029121862572986497
350,Johnson City,TN,36.3406,-82.3803,127571,,
351,Lynchburg,VA,37.4003,-79.1909,126814,,
352,Simi Valley,CA,34.2663,-118.749,126589,,
353,Fort Smith,AR,35.3493,-94.3695,125354,FSM,0.012378799302433829
354,Kenosha,WI,42.5864,-87.8765,124972,,
355,Norman,OK,35.2335,-97.3471,124880,,
356,South Lyon,MI,42.4614,-83.6526,124694,,
357,Boulder,CO,40.0249,-105.2523,124345,,
358,Abilene,TX,32.4543,-99.7384,123420,,
359,Lehigh Acres,FL,26.612,-81.6388,123378,,
360,Pearland,TX,29.5585,-95.3215,122460,,
361,Berkeley,CA,37.8723,-122.276,121363,,
362,Richardson,TX,32.9717,-96.7093,121323,,
363,Redding,CA,40.5698,-122.365,121313,,
364,Arvada,CO,39.8321,-105.1511,121272,,
365,East Los Angeles,CA,34.0326,-118.1691,121187,,
366,St. George,UT,37.077,-113.577,120899,SGU,0.0822527096436963
367,Billings,MT,45.7891,-108.5524,120728,COD,1.3562046059801687
368,Yuba City,CA,39.1357,-121.6381,120456,,
369,Rochester,MN,44.0151,-92.4778,119942,RST,0.10686666648122421
370,Leominster,MA,42.5209,-71.7717,119690,,
371,Kingsport,TN,36.5224,-82.5453,119666,TRI,0.1434844583542754
372,Duluth,MN,46.7756,-92.1392,119476,DLH,0.07488596198574314
373,Rock Hill,SC,34.9416,-81.0244,119105,,
374,Gilroy,CA,37.0047,-121.5855,118993,,
375,Cambridge,MA,42.3759,-71.1185,118927,,
376,Sugar Land,TX,29.5935,-95.6357,118488,,
377,Texas City,TX,29.4128,-94.9658,118169,,
378,Iowa City,IA,41.6559,-91.5303,118041,,
379,Saginaw,MI,43.4199,-83.9501,117958,,
380,Chico,CA,39.7575,-121.8152,117668,,
381,Dover,DE,39.161,-75.5203,117282,,
382,Clearwater,FL,27.9789,-82.7622,116946,,
383,Coeur d'Alene,ID,47.7041,-116.7935,116834,,
384,Seaside,CA,36.6224,-121.8191,116720,,
385,Independence,MO,39.0871,-94.3501,116672,,
386,West Jordan,UT,40.6024,-112.0008,116480,,
387,Brandon,FL,27.9367,-82.3,115911,,
388,Bloomington,IN,39.1637,-86.5257,115884,,
389,El Monte,CA,34.0739,-118.0291,115487,,
390,North Charleston,SC,32.9066,-80.0722,115382,CHS,0.03620604605255995
391,Carlsbad,CA,33.1247,-117.2837,115382,,
392,St. Cloud,MN,45.5339,-94.1718,115028,,
393,Temecula,CA,33.4928,-117.1315,114761,,
394,Clovis,CA,36.8278,-119.6831,114584,FAT,0.06264548107709543
395,Meridian,ID,43.6112,-116.3968,114161,,
396,The Woodlands,TX,30.1738,-95.5134,113819,,
397,Ponce,PR,18.012,-66.6198,113401,PSE,0.05660759054844032
398,Westminster,CO,39.8837,-105.0624,113166,,
399,Costa Mesa,CA,33.6667,-117.9135,113003,SNA,0.046992337447925685
400,Monroe,LA,32.5183,-92.0774,112891,,
401,Utica,NY,43.0961,-75.226,112650,,
402,Pompano Beach,FL,26.2428,-80.1312,112118,,
403,West Palm Beach,FL,26.7468,-80.1316,111955,,
404,Waterloo,IA,42.492,-92.3522,111631,,
405,Everett,WA,47.9525,-122.1669,111475,,
406,El Centro,CA,32.7867,-115.5586,111425,,
407,Santa Fe,NM,35.6619,-105.9819,111269,SAF,0.11152576985585251
408,Downey,CA,33.9379,-118.1312,111126,,
409,Spring Hill,FL,28.4797,-82.53,111076,,
410,Lowell,MA,42.6389,-71.3217,110997,,
411,Centennial,CO,39.5926,-104.8674,110937,,
412,Elgin,IL,42.0385,-88.3229,110849,,
413,Richmond,CA,37.9477,-122.339,110567,,
414,Broken Arrow,OK,36.0365,-95.7809,110198,,
415,Miami Gardens,FL,25.9433,-80.2426,110001,,
416,Bend,OR,44.0562,-121.3087,109802,,
417,Burlington,VT,44.4877,-73.2314,109763,,
418,Jurupa Valley,CA,34.001,-117.4705,109527,,
419,Sandy Springs,GA,33.9366,-84.3703,109452,,
420,Gresham,OR,45.5023,-122.4413,109381,,
421,Lewisville,TX,33.0452,-96.9823,109212,,
422,Hillsboro,OR,45.5272,-122.9361,109128,,
423,San Buenaventura,CA,34.2741,-119.2314,109106,,
424,Jacksonville,NC,34.7288,-77.3941,108856,OAJ,0.2352521801919242
425,Pottstown,PA,40.2507,-75.6444,108758,,
426,Inglewood,CA,33.9566,-118.3444,108151,,
427,League City,TX,29.4873,-95.1087,107536,,
428,Eau Claire,WI,44.8199,-91.4949,107404,EAU,0.04417929067810227
429,Turlock,CA,37.5053,-120.8588,107317,,
430,Temple,TX,31.1076,-97.3894,107258,,
431,Sioux City,IA,42.4959,-96.3901,106455,,
432,Salisbury,MD,38.3756,-75.5867,106447,SBY,0.08711355847977248
433,Davie,FL,26.0789,-80.287,106306,,
434,Daly City,CA,37.6862,-122.4685,106280,,
435,Highlands Ranch,CO,39.5419,-104.9708,105631,,
436,Allen,TX,33.1088,-96.6735,105623,,
437,West Covina,CA,34.0555,-117.9112,105101,,
438,Sparks,NV,39.5729,-119.7157,105006,RNO,0.09010826804738598
439,Wichita Falls,TX,33.9072,-98.5291,104683,SPS,0.06817641683529671
440,San Mateo,CA,37.5521,-122.3122,104430,,
441,Columbia,MD,39.2004,-76.859,103991,,
442,Norwalk,CA,33.9069,-118.0829,103949,,
443,Rialto,CA,34.1174,-117.3894,103526,,
444,Manteca,CA,37.7927,-121.2264,103420,,
445,Arden-Arcade,CA,38.6034,-121.381,102864,,
446,El Cajon,CA,32.8017,-116.9605,102708,,
447,Burbank,CA,34.1879,-118.3235,102511,BUR,0.029248897885050647
448,Longmont,CO,40.1686,-105.1005,102474,,
449,Renton,WA,47.4784,-122.1919,101751,,
450,Vista,CA,33.1896,-117.2386,101638,,
451,Logan,UT,41.74,-111.8419,101616,,
452,Prescott Valley,AZ,34.5983,-112.3176,101539,,
453,Vacaville,CA,38.359,-121.968,101444,,
454,Edinburg,TX,26.3197,-98.1596,101170,,
455,Carmel,IN,39.965,-86.146,101068,,
456,Spokane Valley,WA,47.6626,-117.2346,101060,,
457,San Angelo,TX,31.4424,-100.4506,101004,SJT,0.09987030655455305
458,La Crosse,WI,43.824,-91.2268,100693,,
459,Idaho Falls,ID,43.4872,-112.0362,100442,IDA,0.042302980165121275
460,Holland,MI,42.7677,-86.0985,100432,,
461,Charlottesville,VA,38.0375,-78.4855,100416,CHO,0.10746948847602945
462,Longview,TX,32.5193,-94.7621,100330,,
463,Tracy,CA,37.7269,-121.4522,100049,,
464,Boca Raton,FL,26.3752,-80.108,99805,,
465,Lafayette,CO,39.9949,-105.0997,99645,,
466,Lee's Summit,MO,38.9172,-94.3816,99357,,
467,Rio Rancho,NM,35.2872,-106.6981,99178,,
468,South Fulton,GA,33.6269,-84.5802,99155,,
469,Beaverton,OR,45.4779,-122.8168,99037,,
470,Lawrence,KS,38.9597,-95.2641,98648,,
471,Bismarck,ND,46.8144,-100.7694,98345,BIS,0.04105088815226601
472,Orem,UT,40.2983,-111.6992,97828,,
473,Middletown,OH,39.5032,-84.366,97730,,
474,San Tan Valley,AZ,33.1879,-111.5472,96692,,
475,San Marcos,CA,33.135,-117.1744,96664,,
