Glenwood Springs,CO,39.5455,-107.3346,11962,ASE,0.571860878
Norwalk,IA,41.4895,-93.6913,11938,DSM,0.055214622
Kalaoa,HI,19.7369,-156.0122,11729,KOA,0.030724604
Fort Bliss,TX,31.8137,-106.4119,11427,ELP,0.03062976
Signal Hill,CA,33.8029,-118.1681,11421,LGB,0.021404113
Hailey,ID,43.5141,-114.3,11409,SUN,0.007654905
Summerfield,NC,36.1973,-79.8997,11376,GSO,0.099475574
South Yarmouth,MA,41.6692,-70.2005,11091,PVC,0.407186613
Walden,NY,41.5603,-74.1879,11085,SWF,0.106802179
Orange Cove,CA,36.6211,-119.3188,11059,MMH,1.113502078
Essex Junction,VT,44.4902,-73.114,10852,BTV,0.042361848
Oak Grove,SC,33.9809,-81.1438,10835,CAE,0.044663731
Smithville,MO,39.3921,-94.5748,10795,MCN,0.160978498
Aguadilla,PR,18.4382,-67.1536,10739,BQN,0.059954125
Darby,PA,39.921,-75.2611,10702,PHL,0.051133487
Gateway,FL,26.5804,-81.7453,10702,RSW,0.047755416
Ketchikan,AK,55.3556,-131.6698,10652,PSG,1.930147504
Ogdensburg,NY,44.7088,-75.4717,10638,OGS,0.027195491
Anderson,CA,40.4497,-122.295,10630,RDD,0.056312999
Kapaa,HI,22.091,-159.352,10580,LIH,0.112453508
Gifford,FL,27.6747,-80.4102,10479,VRB,0.021974917
Linthicum,MD,39.2088,-76.6625,10442,BWI,0.031943924
West Point,MS,33.6064,-88.6571,10404,GTR,0.16972291
Box Elder,SD,44.1121,-103.0827,10228,RAP,0.076985612
Hobart,WI,44.4967,-88.1602,10082,GRB,0.032737586
