city,state_id,state_name,latitude,longitude,population
East Franklin,NJ,New Jersey,40.4933,-74.4711,7649
Waller,WA,Washington,47.2035,-122.3699,7647
Windsor,WI,Wisconsin,43.2406,-89.2952,7644
Scotia,NY,New York,42.8321,-73.9607,7642
Marshfield,MO,Missouri,37.3414,-92.9116,7638
Devils Lake,ND,North Dakota,48.1131,-98.875,7631
River Oaks,TX,Texas,32.7767,-97.3984,7630
Waupaca,WI,Wisconsin,44.3506,-89.0719,7627
Wapato,WA,Washington,46.4435,-120.4215,7627
South Beloit,IL,Illinois,42.4822,-89.0248,7624
Baldwin Harbor,NY,New York,40.6296,-73.6025,7623
Kula,HI,Hawaii,20.7706,-156.3284,7621
Broadview,IL,Illinois,41.8584,-87.8562,7618
Cushing,OK,Oklahoma,35.9798,-96.7602,7615
Pike Creek,DE,Delaware,39.7485,-75.6953,7613
Milan,TN,Tennessee,35.9126,-88.7554,7612
Senatobia,MS,Mississippi,34.6081,-89.9762,7610
Juncos,PR,Puerto Rico,18.2264,-65.9163,7607
Sioux Center,IA,Iowa,43.0748,-96.1707,7605
Calumet Park,IL,Illinois,41.665,-87.6578,7602
Escalon,CA,California,37.7912,-120.9982,7601
Luquillo,PR,Puerto Rico,18.3735,-65.7218,7599
Lake Shore,WA,Washington,45.6911,-122.6911,7599
Pulaski,TN,Tennessee,35.1933,-87.035,7597
Emerson,NJ,New Jersey,40.9748,-74.0239,7596
Bernardsville,NJ,New Jersey,40.7268,-74.5918,7594
Caribou,ME,Maine,46.8662,-67.9919,7593
Tuttle,OK,Oklahoma,35.3069,-97.7562,7593
LaFayette,GA,Georgia,34.7088,-85.2815,7589
Palmyra,PA,Pennsylvania,40.31,-76.5945,7587
Joshua Tree,CA,California,34.1236,-116.3128,7581
Leola,PA,Pennsylvania,40.0915,-76.1891,7576
Dayton,NJ,New Jersey,40.3815,-74.5137,7576
Inwood,FL,Florida,28.0391,-81.7677,7575
Glen Ridge,NJ,New Jersey,40.8041,-74.2043,7574
Plumas Lake,CA,California,38.9924,-121.558,7573
Hales Corners,WI,Wisconsin,42.941,-88.0491,7567
Hughson,CA,California,37.602,-120.866,7565
Scappoose,OR,Oregon,45.7564,-122.8771,7564
